1, 2460, 1735
2, 3551, 3387
3, 6869, 6957
4, 6677, 2348
5, 4593, 3102
6, 2986, 1220
7, 5175, 5877
8, 1593, 819
9, 1823, 821
10, 6091, 1295
11, 2751, 4892
12, 6764, 635
13, 4467, 814
14, 7092, 6654
15, 748, 7429
16, 2001, 1939
17, 6614, 1293
18, 4728, 4167
19, 4032, 1123
20, 1789, 308
21, 2330, 1229
22, 2496, 7024
23, 938, 4309
24, 6747, 1143
25, 152, 5809
26, 7236, 1255
27, 5255, 3449
28, 1380, 2935
29, 2411, 6767
30, 128, 6235
31, 1978, 2931
32, 5431, 6148
33, 7400, 1481
34, 6880, 854
35, 1002, 4615
36, 3102, 3997
37, 6709, 5877
38, 3307, 5879
39, 5823, 6227
40, 5407, 3610
41, 6585, 4272
42, 3817, 6396
43, 5865, 7234
44, 2477, 3039
45, 7354, 1991
46, 513, 2498
47, 5967, 4818
48, 6150, 1981
49, 4477, 6885
50, 2571, 2985
51, 1834, 7119
52, 3369, 4961
53, 4700, 4601
54, 349, 1242
55, 2802, 5218
56, 2243, 6527
57, 4759, 6365
58, 3730, 4527
59, 3935, 2796
60, 298, 3200
61, 4707, 230
62, 256, 3857
63, 7382, 3623
64, 4528, 5440
65, 5440, 3119
66, 6675, 6213
67, 6829, 2831
68, 1002, 3506
69, 773, 3072
70, 2432, 549
71, 5276, 4017
72, 3057, 203
73, 6687, 3885
74, 2330, 2383
75, 4527, 7365
76, 5710, 2657
77, 1174, 1220
78, 1463, 6438
79, 5423, 5149
80, 1184, 4263
81, 3956, 4124
82, 2498, 7234
83, 2657, 5218
84, 2982, 6862
85, 4023, 907
86, 331, 332
87, 1734, 7050
88, 953, 1530
89, 6216, 1464
90, 6961, 5809
91, 2271, 5175
92, 5089, 529
93, 431, 26
94, 3374, 2402
95, 6821, 6611
96, 7047, 321
97, 328, 2697
98, 3956, 1831
99, 2982, 4856
100, 7266, 1317
101, 2476, 3428
102, 7354, 4409
103, 7334, 4007
104, 2873, 2569
105, 1918, 1171
106, 428, 6624
107, 6721, 1915
108, 428, 4892
109, 4121, 6709
110, 3569, 4518
111, 4145, 2569
112, 2963, 4773
113, 3817, 3987
114, 6506, 3146
115, 3756, 4531
116, 1535, 833
117, 535, 4593
118, 3634, 5124
119, 6654, 3612
120, 7410, 5407
121, 308, 1387
122, 6747, 6216
123, 3090, 5996
124, 2521, 3889
125, 5639, 4383
126, 5985, 5907
127, 642, 5971
128, 6891, 2752
129, 642, 6700
130, 1337, 5164
131, 5794, 7138
132, 4648, 2859
133, 5823, 7493
134, 3208, 6759
135, 4773, 2912
136, 6422, 5860
137, 437, 3496
138, 3754, 1278
139, 5407, 5434
140, 514, 1783
141, 4773, 6137
142, 2718, 6309
143, 519, 200
144, 6015, 628
145, 1981, 4175
146, 4593, 4140
147, 7462, 4356
148, 2017, 5580
149, 582, 4368
150, 1345, 5050
151, 946, 1505
152, 2022, 601
153, 4356, 2357
154, 2962, 3631
155, 2426, 2046
156, 3307, 5720
157, 1167, 718
158, 4559, 5427
159, 2201, 3449
160, 6500, 5710
161, 3761, 6457
162, 1751, 5879
163, 6198, 5255
164, 5164, 5978
165, 7423, 5834
166, 6213, 7050
167, 7025, 6328
168, 854, 6700
169, 6525, 714
170, 3341, 4892
171, 7405, 1412
172, 5110, 996
173, 1593, 4379
174, 7399, 279
175, 7154, 1387
176, 7288, 3857
177, 3592, 1660
178, 4930, 4029
179, 6885, 1028
180, 1328, 431
181, 7025, 230
182, 4180, 2629
183, 419, 1885
184, 2339, 1316
185, 4182, 1505
186, 5094, 4333
187, 7147, 568
188, 5433, 4427
189, 4989, 2985
190, 3889, 3538
191, 26, 828
192, 7431, 1477
193, 1505, 6693
194, 1268, 2357
195, 7319, 4213
196, 2809, 6021
197, 6412, 4434
198, 4388, 657
199, 5992, 4466
200, 2866, 6896
201, 3653, 5034
202, 3757, 6821
203, 7026, 162
204, 673, 5168
205, 6216, 7322
206, 3216, 5710
207, 7439, 5742
208, 331, 2498
209, 3090, 1010
210, 850, 6730
211, 5501, 3893
212, 797, 425
213, 3245, 3301
214, 4162, 1535
215, 690, 7290
216, 5728, 4826
217, 3955, 298
218, 5804, 395
219, 1507, 6880
220, 1137, 4701
221, 7070, 4335
222, 408, 5766
223, 7168, 5669
224, 4663, 1798
225, 5199, 1927
226, 3824, 6800
227, 4360, 4930
228, 5766, 689
229, 7322, 2767
230, 4257, 1508
231, 215, 1751
232, 25, 865
233, 3496, 4293
234, 7253, 1412
235, 4673, 5879
236, 5956, 2512
237, 3072, 865
238, 5373, 3610
239, 680, 6855
240, 2239, 6891
241, 2688, 2222
242, 7354, 2831
243, 3055, 3306
244, 5530, 6988
245, 2087, 6457
246, 5732, 1477
247, 2001, 1735
248, 2802, 6211
249, 2470, 5199
250, 4773, 408
251, 4852, 3128
252, 5797, 6675
253, 2259, 5053
254, 5644, 7031
255, 1831, 6402
256, 3687, 550
257, 479, 5713
258, 4423, 2586
259, 6658, 2821
260, 676, 951
261, 6785, 593
262, 448, 7168
263, 4853, 3306
264, 6463, 3341
265, 2890, 7289
266, 6624, 3072
267, 2920, 6855
268, 2304, 7050
269, 6490, 878
270, 2097, 4788
271, 4698, 5652
272, 6211, 5560
273, 1873, 3009
274, 1923, 328
275, 1343, 7253
276, 3409, 4466
277, 2120, 7346
278, 1278, 5108
279, 481, 6121
280, 5968, 1391
281, 6945, 3666
282, 3128, 7312
283, 3756, 2583
284, 953, 1456
285, 6559, 4066
286, 2252, 5370
287, 6829, 1834
288, 634, 4811
